CollectionCode	HMS	StructuredFormula	StructureType	Authors	CellParameter	CellVolume	Temperature	Pressure	PublicationYear	Quality	
84	R -3 R	Pb0.83 Ti13.68 Fe6.32 Mn O38	Ca2Zn4Ti16O38	Grey, I.E.; Lloyd, D.J.	9.172(1) 9.172(1) 9.172(1) 69.020(5) 69.020(5) 69.020(5)	648.89	293.00	0.101325	1976	10	
8331	R -3 m H	Li0.19 Mn0.80 Ni0.21 Co0.20 O1.90	α−NaFeO2	Ishida, Naoya; Nishigami, Ryuta; Kitamura, Naoto; Idemoto, Yasushi	2.8455(3) 2.8455(3) 14.050(3) 90. 90. 120.	98.52	293.00	0.101325	2017	10	
13390	P -3 m 1	Na2 Ba Mn (V O4)2	K3Na(SO4)2	Sanjeewa, Liurukara D.; Garlea, V. Ovidiu; McGuire, Michael A.; McMillen, Colin D.; Kolis, Joseph W.	5.5929(2) 5.5929(2) 7.1540(4) 90 90 120	193.80	297.00	0.101325	2019	10	
13773	R 3 m H	Na0.67 Mn0.5 Ni0.4 Fe0.1 O2	CuCrSe2	Mullaliu, Angelo; Kuroki, Kazutoshi; Keller, Marlou; Kubota, Kei; Buchholz, Daniel; Komaba, Shinichi; Passerini, Stefano	2.89745(9) 2.89745(9) 16.7332(6) 90. 90. 120.	121.65	293.00	0.101325	2020	10	
14713	R -3 c H	La0.5 Sr0.5 Mn0.5 Cr0.5 O3		Kallel, Nabil; Hazzez, Mohamed; Ihzaz, Nejib	5.4993(7) 5.4993(7) 7.7127(18) 90. 90. 120.	202.00	293.00	0.101325	2019	10	
19215	R -3 m H	Mg1.34 Mn2.67 (O D)6 Cl2	Cu2(OH)3Cl-[R-3m]	Rahman Bhuiyan, Md. Mahbubur; Zheng, Xu-Guang; Hagihala, Masato; Torii, Shuki; Kamiyama, Takashi; Kawae, Tatsuya	7.06973(4) 7.06973(4) 14.59632(2) 90. 90. 120.	631.79	20.00	0.101325	2020	10	
19572	R -3 m H	Na (Ni0.3 Fe0.4 Mn0.3) O2	α−NaFeO2	Lamb, Julia; Stokes, Lauren; Manthiram, Arumugam	2.97723(18) 2.97723(18) 16.0948(8) 90 90 120	123.54	293.00	0.101325	2020	10	
19647	R -3 m H	Li1.2 Co0.13 Ni0.13 Mn0.54 O2	α−NaFeO2	Wang, Liguang; Dai, Alvin; Xu, Wenqian; Lee, Sungsik; Cha, Wonsuk; Harder, Ross; Liu, Tongchao; Ren, Yang; Yin, Geping; Zuo, Pengjian; Wang, Jun; Lu, Jun; Wang, Jiajun	2.84900(1) 2.84900(1) 14.2218(1) 90. 90. 120.	99.97	293.00	0.101325	2020	10	
19958	R -3 m H	Li0.332 Mn0.334 Ni0.328 Co0.338 O2	α−NaFeO2	Ishida, Naoya; Ando, Shoichiro; Kitamura, Naoto; Idemoto, Yasushi	2.8222(1) 2.8222(1) 14.423(1) 90. 90. 120.	99.49	293.00	0.101325	2019	10	
19959	R -3 m H	Li0.418 Mn0.335 Ni0.325 Co0.340 O2	α−NaFeO2	Ishida, Naoya; Ando, Shoichiro; Kitamura, Naoto; Idemoto, Yasushi	2.8237(2) 2.8237(2) 14.490(1) 90. 90. 120.	100.05	293.00	0.101325	2019	10	
19960	P -3 m 1	Li0.109 Mn0.337 Ni0.326 Co0.337 O2	TlCdS2	Ishida, Naoya; Ando, Shoichiro; Kitamura, Naoto; Idemoto, Yasushi	2.83099(2) 2.83099(2) 4.48598(7) 90. 90. 120.	31.14	293.00	0.101325	2019	10	
19961	R -3 m H	Li0.109 Mn0.337 Ni0.326 Co0.337 O2	α−NaFeO2	Ishida, Naoya; Ando, Shoichiro; Kitamura, Naoto; Idemoto, Yasushi	2.83105(6) 2.83105(6) 14.225(1) 90. 90. 120.	98.73	293.00	0.101325	2019	10	
19962	R -3 m H	Li0.425 Mn0.332 Ni0.334 Co0.324 O2	α−NaFeO2	Ishida, Naoya; Ando, Shoichiro; Kitamura, Naoto; Idemoto, Yasushi	2.8235(4) 2.8235(4) 14.4934(4) 90. 90. 120.	100.06	293.00	0.101325	2019	10	
22445	R -3 c H	La0.8 Ba0.2 Mn0.4 Cu0.6 O3	LaAlO3	Durán, Silvia; Rangel, Nathaly; Silva, Camila; Macias, Mario A.; Capoen, Edouard; Pirovano, Caroline; Niemczyk, Anna; Suescun, Leopoldo; Roussel, Pascal; Gauthier, Gilles H.	5.5083(9) 5.5083(9) 13.437(4) 90. 90. 120.	353.08	293.00	0.101325	2019	10	
22446	R -3 c H	La0.8 Ba0.2 Mn0.6 Cu0.4 O3	LaAlO3	Durán, Silvia; Rangel, Nathaly; Silva, Camila; Macias, Mario A.; Capoen, Edouard; Pirovano, Caroline; Niemczyk, Anna; Suescun, Leopoldo; Roussel, Pascal; Gauthier, Gilles H.	5.5190(5) 5.5190(5) 13.4197(15) 90. 90. 120.	353.99	293.00	0.101325	2019	10	
22447	R -3 c H	La0.8 Ba0.2 Mn0.8 Cu0.2 O3	LaAlO3	Durán, Silvia; Rangel, Nathaly; Silva, Camila; Macias, Mario A.; Capoen, Edouard; Pirovano, Caroline; Niemczyk, Anna; Suescun, Leopoldo; Roussel, Pascal; Gauthier, Gilles H.	5.5316(5) 5.5316(5) 13.4406(13) 90. 90. 120.	356.16	293.00	0.101325	2019	10	
22449	R -3 c H	La0.8 Ba0.2 Mn0.8 Cu0.2 O2.64	(La,Sr)CuO3-x	Durán, Silvia; Rangel, Nathaly; Silva, Camila; Macias, Mario A.; Capoen, Edouard; Pirovano, Caroline; Niemczyk, Anna; Suescun, Leopoldo; Roussel, Pascal; Gauthier, Gilles H.	5.5556(12) 5.5556(12) 13.534(4) 90. 90. 120.	361.76	293.00	0.101325	2019	10	
23495	R -3 m H	Li1.01 Ni0.79 Co0.1 Mn0.1 O2	α−NaFeO2	Friedrich, Franziska; Strehle, Benjamin; Freiberg, Anna T.S.; Kleiner, Karin; Day, Sarah J.; Erk, Christoph; Piana, Michele; Gasteiger, Hubert A.	2.87212(2) 2.87212(2) 14.20580(18) 90 90 120	101.48	293.00	0.101325	2019	10	
24440	R -3 m H	Li (Ni0.23 Co0.12 Mn0.65) O2	α−NaFeO2	Sallard, Sebastien; Billaud, Juliette; Sheptyakov, Denis; Novák, Petr; Villevieille, Claire	2.8550(2) 2.8550(2) 14.2436(12) 90. 90. 120.	100.55	293.00	0.101325	2020	10	
34304	R -3 m H	Li Ni0.33 Co0.33 Mn0.33 O2	α−NaFeO2	Zahnow, Julian; Bernges, Tim; Wagner, Amalia; Bohn, Nicole; Binder, Joachim R.; Zeier, Wolfgang G.; Elm, Matthias T.; Janek, Jürgen	2.8667(6) 2.8667(6) 14.263(4) 90. 90. 120.	101.51	293.00	0.101325	2021	10	
34305	R -3 m H	Li Ni0.33 Co0.33 Mn0.33 O2	α−NaFeO2	Zahnow, Julian; Bernges, Tim; Wagner, Amalia; Bohn, Nicole; Binder, Joachim R.; Zeier, Wolfgang G.; Elm, Matthias T.; Janek, Jürgen	2.8663(5) 2.8663(5) 14.262(4) 90. 90. 120.	101.47	293.00	0.101325	2021	10	
34306	R -3 m H	Li Ni0.33 Co0.33 Mn0.33 O2	α−NaFeO2	Zahnow, Julian; Bernges, Tim; Wagner, Amalia; Bohn, Nicole; Binder, Joachim R.; Zeier, Wolfgang G.; Elm, Matthias T.; Janek, Jürgen	2.8669(6) 2.8669(6) 14.265(4) 90. 90. 120.	101.54	293.00	0.101325	2021	10	
34309	R -3 m H	Li Ni0.33 Co0.33 Mn0.33 O2	α−NaFeO2	Zahnow, Julian; Bernges, Tim; Wagner, Amalia; Bohn, Nicole; Binder, Joachim R.; Zeier, Wolfgang G.; Elm, Matthias T.; Janek, Jürgen	2.8670(6) 2.8670(6) 14.275(5) 90. 90. 120.	101.62	293.00	0.101325	2021	10	
34310	R -3 m H	Li Ni0.33 Co0.33 Mn0.33 O2	α−NaFeO2	Zahnow, Julian; Bernges, Tim; Wagner, Amalia; Bohn, Nicole; Binder, Joachim R.; Zeier, Wolfgang G.; Elm, Matthias T.; Janek, Jürgen	2.8672(6) 2.8672(6) 14.274(5) 90. 90. 120.	101.62	293.00	0.101325	2021	10	
34311	R -3 m H	Li Ni0.33 Co0.33 Mn0.33 O2	α−NaFeO2	Zahnow, Julian; Bernges, Tim; Wagner, Amalia; Bohn, Nicole; Binder, Joachim R.; Zeier, Wolfgang G.; Elm, Matthias T.; Janek, Jürgen	2.8674(5) 2.8674(5) 14.270(4) 90. 90. 120.	101.61	293.00	0.101325	2021	10	
36609	P -3 m 1	Ba6  Ru2 (Ru0.5 Mn0.5) O12 Cl2	Ba5Ru2(Ru,Mn)O12Cl2	Neubacher, M.; Müller-Buschbaum, Hk.	5.7991(6) 5.7991(6) 14.853(2) 90. 90. 120.	432.58	293.00	0.101325	1991	10	
36755	R -3 m H	Li Ni0.78 Co0.11 Mn0.11 O2	α−NaFeO2	Park, Sanghyuk; Jo, Changheum; Kim, Hee Jae; Kim, Sangjun; Myung, Seung-Taek; Kang, Hee-Kook; Kim, Hyeongil; Song, Junho; Yu, Jisang; Kwon, Kyungjung	2.8691(2) 2.8691(2) 14.2119(2) 90. 90. 120.	101.32	293.00	0.101325	2020	10	
36913	R -3 c H	La0.67 Ba0.28 Rb0.05 Mn O3	LaAlO3	Zeydi, I.; Zaidi, Asma; Dhahri, J.; Hlil, E.K.	5.5421(1) 5.5421(1) 13.5478(2) 90. 90. 120.	360.37	293.00	0.101325	2019	10	
36914	R -3 c H	La0.67 Ba0.23 Rb0.1 Mn O3	LaAlO3	Zeydi, I.; Zaidi, Asma; Dhahri, J.; Hlil, E.K.	5.5641(4) 5.5641(4) 13.5654(3) 90. 90. 120.	363.71	293.00	0.101325	2019	10	
39912	R 3 c H	K5 (Mn0.5 Zr0.5) Zr (Mo O4)6	K5(Mg,Zr)2(MoO4)6	Klevtsova, R.F.; Bazarova, Zh.G.; Glinskaya, L.A.; Bazarov, B.G.; Fedorov, K.N.; Klevtsov, P.V.	10.584(1) 10.584(1) 37.5760(30) 90. 90. 120.	3645.36	293.00	0.101325	1995	10	
44767	P -3 m 1	Fe Mn3 Ge2 Sn7 O16	Fe4Si2Sn7O16	Allison, Morgan C.; Wurmehl, Sabine; Büchner, Bernd; Vella, Joseph L.; Söhnel, Tilo; Bräuninger, Sascha A.; Klauss, Hans-Henning; Avdeev, Maxim; Marlton, Frederick P.; Schmid, Siegbert; Ling, Chris D.	6.95540(16) 6.95540(16) 9.1555(5) 90 90 120	383.58	0.10	0.101325	2022	10	
46097	R -3 m H	(Li0.94 Ni0.06) (Li0.06 Ni0.74 Co0.1 Mn0.1) O2	α−NaFeO2	Roitzheim, Christoph; Kuo, Liang-Yin; Sohn, Yoo Jung; Finsterbusch, Martin; Moeller, Soeren; Sebold, Doris; Valencia, Helen; Meledina, Maria; Mayer, Joachim; Breuer, Uwe; Kaghazchi, Payam; Guillon, Olivier; Fattakhova-Rohlfing, Dina	2.878(1) 2.878(1) 14.206(6) 90. 90. 120.	101.90	293.00	0.101325	2022	10	
48079	R 3 H	Mg1.648 Mn0.704 Zn0.041 Sb0.557 O4		Bonazzi, Paola; Bindi, Luca	16.0285(9) 16.0285(9) 14.8144(8) 90.00 90.00 120.00	3296.10	293.00	0.101325	2015	10	
48709	R -3 c H	La0.8 Na0.2 Mn0.97 Co0.03 O3	LaAlO3	Laouyenne, M.R.; Baazaoui, M.; Hlil, E.K.; Oumezzine, M.; Farah, K.	5.4931(3) 5.4931(3) 13.3137(1) 90. 90. 120.	347.91	293.00	0.101325	2022	10	
48710	R -3 c H	La0.8 Na0.2 Mn0.94 Co0.06 O3	LaAlO3	Laouyenne, M.R.; Baazaoui, M.; Hlil, E.K.; Oumezzine, M.; Farah, K.	5.4933(2) 5.4933(2) 13.3122(2) 90. 90. 120.	347.89	293.00	0.101325	2022	10	
49491	R -3 m H	Na (Ni0.5 Mn0.3 Co0.2) O2	α−NaFeO2	Kumar, V. Kiran; Ghosh, Shuvajit; Ghosh, Sourav; Behera, P. Suchismita; Biswas, Sanjay; Martha, Surendra K.	2.9415(2) 2.9415(2) 15.8708(13) 90. 90. 120.	118.92	293.00	0.101325	2022	10	
49834	R -3 m H	Na Cu0.2 Fe0.4 Mn0.4 O2	α−NaFeO2	Ben Slima, Ichrak; Karoui, Karim; Mahmoud, Abdelfattah; Boschini, Frédéric; Ben Rhaiem, Abdallah	2.9627(1) 2.9627(1) 16.3411(7) 90. 90. 120.	124.22	293.00	0.101325	2022	10	
49835	R -3 m H	Na Cu0.2 Fe0.3 Mn0.5 O2	α−NaFeO2	Ben Slima, Ichrak; Karoui, Karim; Mahmoud, Abdelfattah; Boschini, Frédéric; Ben Rhaiem, Abdallah	2.9389(1) 2.9389(1) 16.5208 (11) 90. 90. 120.	123.58	293.00	0.101325	2022	10	
49836	R -3 m H	Na Cu0.2 Fe0.2 Mn0.6 O2	AgCrSe2	Ben Slima, Ichrak; Karoui, Karim; Mahmoud, Abdelfattah; Boschini, Frédéric; Ben Rhaiem, Abdallah	2.8107(2) 2.8107(2) 16.8160(5) 90. 90. 120.	115.05	293.00	0.101325	2022	10	
49837	R -3 m H	Na Cu0.2 Fe0.1 Mn0.7 O2	AgCrSe2	Ben Slima, Ichrak; Karoui, Karim; Mahmoud, Abdelfattah; Boschini, Frédéric; Ben Rhaiem, Abdallah	2.7326(5) 2.7326(5) 16.7607(4) 90. 90. 120.	108.39	293.00	0.101325	2022	10	
50714	R -3 c H	(La0.7 Sr0.3) (Co0.75 Mn0.25) O2.98	LaAlO3	Petrov, A.N.; Voronin, V.I.; Norby, T.; Kofstad, P.	5.4432(5) 5.4432(5) 13.2100(15) 90. 90. 120.	338.95	293.00	0.101325	1999	10	
50715	R -3 c H	(La0.7 Sr0.3) (Co0.5 Mn0.5) O2.99	LaAlO3	Petrov, A.N.; Voronin, V.I.; Norby, T.; Kofstad, P.	5.4583(5) 5.4583(5) 13.2462(18) 90. 90. 120.	341.77	293.00	0.101325	1999	10	
50716	R -3 c H	(La0.7 Sr0.3) (Co0.25 Mn0.75) O3	LaAlO3	Petrov, A.N.; Voronin, V.I.; Norby, T.; Kofstad, P.	5.4833(5) 5.4833(5) 13.2917(19) 90. 90. 120.	346.09	293.00	0.101325	1999	10	
51277	R -3 c H	(La0.6 Sr0.3 Ba0.1) Mn O3	LaAlO3	Shen, C.H.; Chen, C.-C.; Liu, R.-S.; Gundakaram, R.; Hu, S.F.; Chen, J.-M.	5.4987(3) 5.4987(3) 13.3982(7) 90. 90. 120.	350.83	293.00	0.101325	2001	10	
51278	R -3 c H	(La0.6 Sr0.2 Ba0.2) Mn O3	LaAlO3	Shen, C.H.; Chen, C.-C.; Liu, R.-S.; Gundakaram, R.; Hu, S.F.; Chen, J.-M.	5.5052(3) 5.5052(3) 13.451(1) 90. 90. 120.	353.05	293.00	0.101325	2001	10	
51279	R -3 c H	(La0.6 Sr0.1 Ba0.3) Mn O3	LaAlO3	Shen, C.H.; Chen, C.-C.; Liu, R.-S.; Gundakaram, R.; Hu, S.F.; Chen, J.-M.	5.518(2) 5.518(2) 13.50(1) 90. 90. 120.	355.98	293.00	0.101325	2001	10	
51398	R -3 c H	(La0.65 Pb0.35) (Mn0.95 Ti0.05) O3	LaAlO3	Nalini, G.; Sahana, M.; Hegde, M.S.; Guru Row, T.N.	5.518(3) 5.518(3) 13.392(8) 90. 90. 120.	353.13	293.00	0.101325	2001	10	
51399	R -3 c H	(La0.68 Pb0.32) (Mn0.83 Ti0.17) O3	LaAlO3	Nalini, G.; Sahana, M.; Hegde, M.S.; Guru Row, T.N.	5.534(3) 5.534(3) 13.441(10) 90. 90. 120.	356.48	293.00	0.101325	2001	10	
51400	R -3 c H	(La0.63 Pb0.37) (Mn0.69 Ti0.31) O3	LaAlO3	Nalini, G.; Sahana, M.; Hegde, M.S.; Guru Row, T.N.	5.539(3) 5.539(3) 13.469(8) 90. 90. 120.	357.87	293.00	0.101325	2001	10	
54667	R -3 m H	Ba2 La2 Mn (W2 O12)	Ba4Re2CoO12	Li Zhaofei; Sun Jun Liang; You Liping; Wang Yingxia; Lin Jian Hua	5.7276(3) 5.7276(3) 27.393(2) 90. 90. 120.	778.24	293.00	0.101325	2004	10	
56629	R -3 c H	(La0.7 Ca0.13 Sr0.17) (Mn O3)	LaAlO3	Radaelli, P.G.; Iannone, G.; Marezio, M.; Hwang, H.Y.; Cheong, S.-W.; Jorgensen, J.D.; Argyriou, D.N.	5.5022(1) 5.5022 13.3291(3) 90. 90. 120.	349.47	300.00	0.101325	1997	10	
59274	P -3	Mn (Si F6) (H2 O)6		Torii, A.; Ogawa, K.; Tamura, H.; Osaki, K.	9.672(3) 9.672(3) 9.834(3) 90. 90. 120.	796.70	298.00	0.101325	1997	10	
60827	R -3 m H	Li Ni0.8 Mn0.1 Co0.1 O2	α−NaFeO2	Sun, Jianming; Cao, Xin; Yang, Huijun; He, Ping; Dato, Michael A.; Cabana, Jordi; Zhou, Haoshen	2.8687(4) 2.8687(4) 14.1694(7) 90. 90. 120.	100.98	293.00	0.101325	2022	10	
60927	R -3 m H	Li Ni0.8 Mn0.1 Co0.1 O2	α−NaFeO2	Sun, Jianming; Cao, Xin; Yang, Huijun; He, Ping; Dato, Michael A.; Cabana, Jordi; Zhou, Haoshen	2.8742(7) 2.8742(7) 14.1983(2) 90. 90. 120.	101.58	293.00	0.101325	2022	10	
61007	R -3 m H	Li Ni0.8 Mn0.1 Co0.1 O2	α−NaFeO2	Sun, Jianming; Cao, Xin; Yang, Huijun; He, Ping; Dato, Michael A.; Cabana, Jordi; Zhou, Haoshen	2.8456(9) 2.8456(9) 14.4254(9) 90. 90. 120.	101.16	293.00	0.101325	2022	10	
61081	R -3 m H	Li Ni0.8 Mn0.1 Co0.1 O2	α−NaFeO2	Sun, Jianming; Cao, Xin; Yang, Huijun; He, Ping; Dato, Michael A.; Cabana, Jordi; Zhou, Haoshen	2.8741(1) 2.8741(1) 14.2117(6) 90. 90. 120.	101.67	293.00	0.101325	2022	10	
75283	R -3 m H	Mn (Al0.65 Li0.33) O2 (O H)2		Post, J.E.; Appleman, D.E.	2.9247(4) 2.9247(4) 28.1690(60) 90. 90. 120.	208.67	293.00	0.101325	1994	10	
80936	P 3 1 c	(Mg (H2 O)6)2 (Mn Cl6)	CdMg2Cl6(H2O)12	Waizumi, K.; Masuda, H.; Fukushima, N.	9.953(3) 9.953(3) 11.467(3) 90. 90. 120.	983.76	293.00	0.101325	1995	10	
86836	R -3 c H	La0.7 Ca0.11 Sr0.19 Mn O3	LaAlO3	Rodriguez-Martinez, L.M.; Attfield, J.P.	5.4906(2) 5.4906(2) 13.2860(5) 90. 90. 120.	346.87	4.00	0.101325	1998	10	
88437	R -3 c H	(La0.85 Na0.12 K0.03) Mn O3	LaAlO3	El-Fadli, Z.; Coret, E.; Sapina, F.; Martinez, E.; Beltran, A.; Beltran, D.; Lloret, F.	5.4949(3) 5.4949(3) 13.3467(8) 90. 90. 120.	349.00	293.00	0.101325	1999	10	
88438	R -3 c H	(La0.85 Na0.09 K0.06) Mn O3	LaAlO3	El-Fadli, Z.; Coret, E.; Sapina, F.; Martinez, E.; Beltran, A.; Beltran, D.; Lloret, F.	5.4979(3) 5.4979(3) 13.3584(8) 90. 90. 120.	349.69	293.00	0.101325	1999	10	
88439	R -3 c H	(La0.85 Na0.06 K0.09) Mn O3	LaAlO3	El-Fadli, Z.; Coret, E.; Sapina, F.; Martinez, E.; Beltran, A.; Beltran, D.; Lloret, F.	5.4987(4) 5.4987(4) 13.368(1) 90. 90. 120.	350.04	293.00	0.101325	1999	10	
88440	R -3 c H	(La0.85 Na0.03 K0.12) Mn O3	LaAlO3	El-Fadli, Z.; Coret, E.; Sapina, F.; Martinez, E.; Beltran, A.; Beltran, D.; Lloret, F.	5.5001(3) 5.5001(3) 13.3789(10) 90. 90. 120.	350.50	293.00	0.101325	1999	10	
89271	R -3 m H	Li1.2 Mn0.54 Ni0.13 Co0.13 O2	α−NaFeO2	Jiao, Jianyue; Song, Hongquan; Zhao, Enyue; Yin, Wen; Xiao, Xiaoling	2.847(0) 2.847(0) 14.221(3) 90. 90. 120.	99.82	293.00	0.101325	2023	10	
90873	R -3 c H	(La0.7 Pb0.3) (Mn0.9 Fe0.1) O3	LaAlO3	Gutierrez, J.; Pena, A.; Barandiaran, J.M.; Pizarro, J.L.; Lezama, L.; Insausti, M.; Rojo, T.	5.5235(1) 5.5235(1) 13.398(1) 90. 90. 120.	354.00	270.00	0.101325	2000	10	
90875	R -3 c H	(La0.7 Pb0.3) (Mn0.9 Ni0.1) O3	LaAlO3	Gutierrez, J.; Pena, A.; Barandiaran, J.M.; Pizarro, J.L.; Lezama, L.; Insausti, M.; Rojo, T.	5.492(1) 5.492(1) 13.331(3) 90. 90. 120.	348.22	296.00	0.101325	2000	10	
93009	R -3 c H	(La0.6 Sr0.3 Ca0.1) (Mn O3)	LaAlO3	Liu, R.-S.; Shen, C.H.; Hu, S.F.	5.4923(2) 5.4923(2) 13.3427(4) 90 90 120	348.56	293.00	0.101325	2001	10	
93010	R -3 c H	(La0.6 Sr0.2 Ca0.2) (Mn O3)	LaAlO3	Liu, R.-S.; Shen, C.H.; Hu, S.F.	5.4854(1) 5.4854(1) 13.3094(3) 90 90 120	346.82	293.00	0.101325	2001	10	
94785	R -3 c H	(La0.706 Sr0.294) (Mn0.98 Cr0.02) O3	LaAlO3	El-Fadli, Z.; Metni, M.R.; Sapina, F.; Martinez, E.; Folgado, J.V.; Beltran, A.	5.50831(12) 5.50831(12) 13.36147(3) 90 90 120	351.09	293.00	0.101325	2002	10	
94786	R -3 c H	(La0.712 Sr0.288) (Mn0.96 Cr0.04) O3	LaAlO3	El-Fadli, Z.; Metni, M.R.; Sapina, F.; Martinez, E.; Folgado, J.V.; Beltran, A.	5.50985(13) 5.50985(13) 13.3614(3) 90 90 120	351.29	293.00	0.101325	2002	10	
94787	R -3 c H	(La0.718 Sr0.282) (Mn0.94 Cr0.06) O3	LaAlO3	El-Fadli, Z.; Metni, M.R.; Sapina, F.; Martinez, E.; Folgado, J.V.; Beltran, A.	5.51004(12) 5.51004(12) 13.3580(3) 90 90 120	351.22	293.00	0.101325	2002	10	
94788	R -3 c H	(La0.724 Sr0.276) (Mn0.92 Cr0.08) O3	LaAlO3	El-Fadli, Z.; Metni, M.R.; Sapina, F.; Martinez, E.; Folgado, J.V.; Beltran, A.	5.51085(12) 5.51085(12) 13.3562(3) 90 90 120	351.28	293.00	0.101325	2002	10	
94789	R -3 c H	(La0.73 Sr0.27) (Mn0.9 Cr0.1) O3	LaAlO3	El-Fadli, Z.; Metni, M.R.; Sapina, F.; Martinez, E.; Folgado, J.V.; Beltran, A.	5.51229(11) 5.51229(11) 13.3554(3) 90 90 120	351.44	293.00	0.101325	2002	10	
94790	R -3 c H	(La0.706 Sr0.294) (Mn0.98 Co0.02) O3	LaAlO3	El-Fadli, Z.; Metni, M.R.; Sapina, F.; Martinez, E.; Folgado, J.V.; Beltran, A.	5.50882(11) 5.50882(11) 13.3607(3) 90 90 120	351.14	293.00	0.101325	2002	10	
94791	R -3 c H	(La0.712 Sr0.288) (Mn0.96 Co0.04) O3	LaAlO3	El-Fadli, Z.; Metni, M.R.; Sapina, F.; Martinez, E.; Folgado, J.V.; Beltran, A.	5.50836(12) 5.50836(12) 13.3553(3) 90 90 120	350.94	293.00	0.101325	2002	10	
94792	R -3 c H	(La0.718 Sr0.282) (Mn0.94 Co0.06) O3	LaAlO3	El-Fadli, Z.; Metni, M.R.; Sapina, F.; Martinez, E.; Folgado, J.V.; Beltran, A.	5.50888(14) 5.50888(14) 13.3525(3) 90 90 120	350.93	293.00	0.101325	2002	10	
94793	R -3 c H	(La0.724 Sr0.276) (Mn0.92 Co0.08) O3	LaAlO3	El-Fadli, Z.; Metni, M.R.; Sapina, F.; Martinez, E.; Folgado, J.V.; Beltran, A.	5.50993(12) 5.50993(12) 13.3495(3) 90 90 120	350.98	293.00	0.101325	2002	10	
94794	R -3 c H	(La0.73 Sr0.27) (Mn0.90 Co0.1) O3	LaAlO3	El-Fadli, Z.; Metni, M.R.; Sapina, F.; Martinez, E.; Folgado, J.V.; Beltran, A.	5.50977(12) 5.50977(12) 13.3451(3) 90 90 120	350.85	293.00	0.101325	2002	10	
94795	R -3 c H	(La0.706 Sr0.294) (Mn0.98 Ga0.02) O3	LaAlO3	El-Fadli, Z.; Metni, M.R.; Sapina, F.; Martinez, E.; Folgado, J.V.; Beltran, A.	5.5071(2) 5.5071(2) 13.3617(6) 90 90 120	350.94	293.00	0.101325	2002	10	
94796	R -3 c H	(La0.712 Sr0.288) (Mn0.96 Ga0.04) O3	LaAlO3	El-Fadli, Z.; Metni, M.R.; Sapina, F.; Martinez, E.; Folgado, J.V.; Beltran, A.	5.5074(2) 5.5074(2) 13.3616(6) 90 90 120	350.98	293.00	0.101325	2002	10	
94797	R -3 c H	(La0.718 Sr0.282) (Mn0.94 Ga0.06) O3	LaAlO3	El-Fadli, Z.; Metni, M.R.; Sapina, F.; Martinez, E.; Folgado, J.V.; Beltran, A.	5.5125(2) 5.5125(2) 13.3716(6) 90 90 120	351.89	293.00	0.101325	2002	10	
94798	R -3 c H	(La0.724 Sr0.276) (Mn0.92 Ga0.08) O3	LaAlO3	El-Fadli, Z.; Metni, M.R.; Sapina, F.; Martinez, E.; Folgado, J.V.; Beltran, A.	5.5099(3) 5.5099(3) 13.3581(8) 90 90 120	351.21	293.00	0.101325	2002	10	
94799	R -3 c H	(La0.73 Sr0.27) (Mn0.9 Ga0.1) O3	LaAlO3	El-Fadli, Z.; Metni, M.R.; Sapina, F.; Martinez, E.; Folgado, J.V.; Beltran, A.	5.5116(2) 5.5116(2) 13.3743(6) 90 90 120	351.85	293.00	0.101325	2002	10	
94800	R -3 c H	(La0.726 Sr0.274) (Mn0.98 Cu0.02) O3	LaAlO3	El-Fadli, Z.; Metni, M.R.; Sapina, F.; Martinez, E.; Folgado, J.V.; Beltran, A.	5.51232(13) 5.51232(13) 13.3625(3) 90 90 120	351.63	293.00	0.101325	2002	10	
94801	R -3 c H	(La0.752 Sr0.248) (Mn0.96 Cu0.04) O3	LaAlO3	El-Fadli, Z.; Metni, M.R.; Sapina, F.; Martinez, E.; Folgado, J.V.; Beltran, A.	5.51792(12) 5.51792(12) 13.3632(3) 90 90 120	352.36	293.00	0.101325	2002	10	
94802	R -3 c H	(La0.778 Sr0.222) (Mn0.94 Cu0.06) O3	LaAlO3	El-Fadli, Z.; Metni, M.R.; Sapina, F.; Martinez, E.; Folgado, J.V.; Beltran, A.	5.52175(13) 5.52175(13) 13.3566(3) 90 90 120	352.68	293.00	0.101325	2002	10	
94803	R -3 c H	(La0.804 Sr0.196) (Mn0.92 Cu0.08) O3	LaAlO3	El-Fadli, Z.; Metni, M.R.; Sapina, F.; Martinez, E.; Folgado, J.V.; Beltran, A.	5.52717(14) 5.52717(14) 13.3565(3) 90 90 120	353.37	293.00	0.101325	2002	10	
94804	R -3 c H	(La0.83 Sr0.17) (Mn0.9 Cu0.1) O3	LaAlO3	El-Fadli, Z.; Metni, M.R.; Sapina, F.; Martinez, E.; Folgado, J.V.; Beltran, A.	5.53003(12) 5.53003(12) 13.3504(3) 90 90 120	353.57	293.00	0.101325	2002	10	
94805	R -3 c H	(La0.726 Sr0.274) (Mn0.98 Zn0.02) O3	LaAlO3	El-Fadli, Z.; Metni, M.R.; Sapina, F.; Martinez, E.; Folgado, J.V.; Beltran, A.	5.51373(14) 5.51373(14) 13.3667(4) 90 90 120	351.92	293.00	0.101325	2002	10	
